landing,roiID,basin,ISO3,continent,initialDamage,subsequentDamage,initialResistance,reactRate,recoverRate,fullRecovery,lon,lat,preEVI,patchSize,coastDistM,speed,trackDist,localWind,bathymetry_mean,alphaDiversity_mean,canopyHeight_mean,stormFreq_mean,totalPrec_value,diversity
Alfred2017_2017046S17137_2017021612,127,SP,AUS,Oceania,0.065275107,-0.29467843,0.934724893,-0.073669608,0.317427318,Y,137.2439617,-16.0105135,0.076887405,959063.3181,251.9023802,7.871,29614.42646,92.34820473,0.000351241,21,0,0.050000001,302.6703178,21
Alistair2001_2001106S08137_2001041707,17,SI,AUS,Oceania,-0.221997095,-0.501209011,1.221997095,-0.125302253,0.099937744,Y,130.2640523,-11.69321059,0.308230012,4885293.795,6791.653736,24.076,95538.06843,0,-0.000204152,21,1.759026688,0.125,562.9827582,21
Alistair2001_2001106S08137_2001041707,56,SI,AUS,Oceania,-0.104560373,-0.290846567,1.104560373,-0.072711642,0.104956836,Y,130.6817685,-11.44707196,0.313337332,1955836.907,967.4471966,24.076,91079.37162,0,-0.000569937,21,1.508840864,0.125,271.5764706,21
Alistair2001_2001106S08137_2001041805,22,SI,AUS,Oceania,-0.07542808,-0.352454807,1.07542808,-0.117484936,0.023948556,Y,126.3563804,-14.1060851,0.226131165,967679.0586,859.3606127,28.706,96285.82554,0,-7.77E-05,21,2.429133858,0.050000001,40.52509279,21
Alistair2001_2001106S08137_2001041805,25,SI,AUS,Oceania,-0.042572142,-0.276696773,1.042572142,-0.138348387,0.131247755,Y,126.5001109,-13.9713378,0.190966261,968248.2734,182.3819576,28.706,94459.56805,0,0.000354901,21,0,0.125,32.235521,21
Alistair2001_2001106S08137_2001042319,1,SI,AUS,Oceania,0.227868442,-0.012769055,0.772131558,-0.006384528,0.416595795,Y,113.6721686,-24.97120829,0.122259522,1808988.918,106.918573,30.86666667,44814.5329,0,0.000224554,21,0.166994106,0.025,24.70159112,21
Alistair2001_2001106S08137_2001042319,2,SI,AUS,Oceania,0.277505103,0,0.722494897,NA,0.104769302,Y,113.6923814,-24.93976731,0.122424061,3618928.977,868.1426829,30.86666667,40968.48739,0,0.00017285,21,0.116781158,0.025,48.20697555,21
Amphan2020_2020136N10088_2020052009,17,NI,IND,Asia,0.544031962,0,0.455968038,NA,0.126827162,Y,88.46544175,21.7546607,0.256230273,2780112.241,1373.852697,28.5208,34972.33665,120.30574,0.000279474,10,0,0.032258064,295.5585837,10
Amphan2020_2020136N10088_2020052009,23,NI,IND,Asia,0.40085342,-0.030492628,0.59914658,-0.030492628,0.226607671,Y,88.49418775,21.90378139,0.29409817,4628617.043,6148.553403,28.5208,22056.52317,136.9580645,0.000252215,10,2.377062058,0.032258064,528.4014781,10
Ana2021_2021029S16171_2021013012,71,SP,FJI,Oceania,0.379923786,0,0.620076214,NA,0.353341436,Y,178.6023974,-17.83409353,0.33607352,949820.2378,802.8059538,13.89,32204.3988,101.1710848,0.001730553,2,0,0.025,297.8682887,2
Anika2022_2022055S13129_2022022606,0,SI,AUS,Oceania,-0.006306189,-0.279357001,1.006306189,-0.279357001,0.187208466,Y,119.6863894,-20.00801668,0.17849611,1875090.334,258.5565588,10.91705263,92867.51759,60.50969046,0.000806154,21,0,0.25,78.59761082,21
Anika2022_2022055S13129_2022022606,1,SI,AUS,Oceania,0.065688243,-0.103963701,0.934311757,-0.103963701,0.117251481,Y,119.7331029,-20.02239025,0.227653645,9374618.548,148.114758,10.91705263,88760.21688,61.2803307,0.000208297,21,3.262166405,0.25,428.8143181,21
Anika2022_2022055S13129_2022022606,17,SI,AUS,Oceania,0.00388088,-0.180162553,0.99611912,-0.180162553,0.154566804,Y,122.215147,-17.23222229,0.201625874,952977.7541,88.76942147,10.91705263,26763.87595,52.87279398,0.000819364,21,0,0,192.4422977,21
Anika2022_2022055S13129_2022022606,28,SI,AUS,Oceania,0.431074205,0,0.568925795,NA,0.498512453,Y,122.3858269,-18.00926443,0.163992085,3795526.151,586.9587729,10.91705263,50767.33829,55.00879885,0.000576336,21,3.766437684,0.031256134,625.6454798,21
Anika2022_2022055S13129_2022022606,29,SI,AUS,Oceania,0.210884428,0,0.789115572,NA,0.250257382,Y,122.3858269,-18.10358811,0.196063293,948372.432,300.3675176,10.91705263,47334.37503,55.3225561,0.000294356,21,0,0.050000001,152.8505544,21
