sampleID,landing,roiID,year,lon,lat,basin,ISO3,continent,totalDamageDuration,initialDamage,totalDamage,initialResistance,subsequentDamage,reactionTime,reactionRate,recoveryTime,recoveryRate,fullRecovery,windSpeed,trackDist,sideTrack,travelSpeed,rainfall,stormFreq,coastalSlope,coastDist,preEVI,patchSize,canopyHeight,nSpecies
4045,Notnamed2021_2021092N11096_2021040300,18,2021,98.41578071,13.50812657,NI,MMR,Asia,2,0.06084556,0.33201722,0.93915444,0.27117166,4,-0.067792915,1,0.432756496,Y,40.744,94780.94925,0,9.26,114.4801763,0,0.002157641,35.7326986,0.442269177,2910492.443,0.288335518,1
585,Choiwan2021_2021148N05142_2021060112,51,2021,122.098366,13.45422784,WP,PHL,Asia,1,0.020208132,0.302757258,0.979791868,0.282549126,4,-0.070637281,1,0.423881642,Y,74.08,56084.91001,1,26.19257143,78.64212279,0.200000003,0.002167105,2697.594869,0.488953416,970382.9704,3.531496063,4
4476,Rai2021_2021346N05145_2021121606,220,2021,125.6556945,9.865458221,WP,PHL,Asia,1,0.593765328,0.593765328,0.406234672,0,0,NA,1,0.423035176,Y,194.46,36257.50143,0,27.16266667,657.7191331,0.025,0.00015587,4129.670177,0.301908541,1966022.761,16.19253438,4
578,Choiwan2021_2021148N05142_2021060112,37,2021,121.864804,13.89440233,WP,PHL,Asia,1,0.323257985,0.323257985,0.676742015,0,0,NA,1,0.418924335,Y,74.08,76283.72999,1,26.19257143,49.26070093,0.200000003,0.006451593,295.86045,0.3481401,968570.8714,0,4
4482,Rai2021_2021346N05145_2021121606,227,2021,125.8982396,9.429775369,WP,PHL,Asia,1,0.045997158,0.385470223,0.954002842,0.339473066,2,-0.169736533,1,0.41298701,Y,194.46,58520.48283,0,27.16266667,324.1862079,0.025,-0.003252235,1705.826725,0.372823106,984282.8899,13.5984252,4
4468,Rai2021_2021346N05145_2021121606,198,2021,124.5956825,10.10351183,WP,PHL,Asia,3,0.369879283,0.401055469,0.630120717,0.031176186,2,-0.015588093,1,0.40624395,Y,194.46,46105.84302,1,27.16266667,223.050945,0.050000001,0.005600605,1033.127492,0.406202151,982292.625,14.05511811,4
580,Choiwan2021_2021148N05142_2021060112,45,2021,122.0354839,13.80457081,WP,PHL,Asia,1,0,0.443009701,1,0.52212344,4,-0.13053086,1,0.399098674,Y,74.08,76058.61547,1,26.19257143,59.92751894,0.200000003,0.006554122,754.7930074,0.509723071,968945.3338,20.69291339,4
4412,Rai2021_2021346N05145_2021121606,72,2021,119.6549484,10.58860209,WP,PHL,Asia,4,0.276005909,0.461332125,0.723994091,0.185326216,3,-0.061775405,1,0.388612684,Y,194.46,45557.50124,1,27.16266667,111.3379791,0,-0.000563327,1156.40725,0.463084278,980775.5164,14.84251969,4
728,Conson2021_2021248N11131_2021090612,40,2021,122.0803997,13.82253711,WP,PHL,Asia,1,0.157060426,0.273928054,0.842939574,0.116867628,1,-0.116867628,1,0.383109374,Y,92.6,61022.59227,1,16.4828,220.3867388,0.200000003,0.003915505,4693.806308,0.510136893,968870.6319,14.84251969,4
751,Conson2021_2021248N11131_2021090612,102,2021,123.5536367,12.24150221,WP,PHL,Asia,1,0,0.368946124,1,0.392372368,1,-0.392372368,1,0.378413396,Y,92.6,26639.1831,0,16.4828,158.7961833,0.150000006,0.002795692,3884.289083,0.255292644,975078.915,2.968503937,4
795,Conson2021_2021248N11131_2021090612,228,2021,125.5389135,11.2398806,WP,PHL,Asia,4,0.113262572,0.295279967,0.886737428,0.182017395,7,-0.026002485,1,0.367018735,Y,92.6,55828.65855,0,16.4828,203.6628264,0.100000001,0.002459312,1442.930351,0.356079526,1957256.24,0,4
752,Conson2021_2021248N11131_2021090612,106,2021,123.6434683,12.07980546,WP,PHL,Asia,1,0,0.194856725,1,0.320538969,3,-0.106846323,1,0.365641965,Y,92.6,46678.72679,0,16.4828,129.1844682,0.150000006,0.001015755,1116.44299,0.192370788,975672.0804,0,4
741,Conson2021_2021248N11131_2021090612,61,2021,122.2600627,14.16389692,WP,PHL,Asia,2,0.289244165,0.423686372,0.710755835,0.134442206,1,-0.134442206,1,0.364398942,Y,92.6,93240.76669,1,16.4828,156.4415273,0.174999997,-0.000226307,741.6143941,0.583219967,967433.2024,14.61417323,4
4426,Rai2021_2021346N05145_2021121606,88,2021,119.9124653,10.48978726,WP,PHL,Asia,11,0.342177361,0.416082973,0.657822639,0.073905612,10,-0.007390561,1,0.361521021,Y,194.46,21523.03876,1,27.16266667,308.0981054,0,0.003202334,710.0899598,0.393481218,2943270.763,8.756544503,4
4402,Rai2021_2021346N05145_2021121606,55,2021,119.5561337,11.21742279,WP,PHL,Asia,1,0,0.182442397,1,0.23888249,4,-0.059720623,1,0.351651802,Y,194.46,110838.99,1,27.16266667,0,0,-0.000158076,1118.526529,0.395486707,978704.2778,0,4
4481,Rai2021_2021346N05145_2021121606,226,2021,125.7239667,9.575302463,WP,PHL,Asia,1,0.478683005,0.478683005,0.521316995,0,0,NA,1,0.347792559,Y,194.46,49982.79264,0,27.16266667,1741.146827,0.025,-0.000902642,741.1030529,0.419414497,4919335.167,7.320502749,4
