"sampleID","obs_std","pred_en","pred_en_upr","pred_en_lwr","pred_en_rcl","pred_en_upr_rcl","pred_en_lwr_rcl","obs","Y","scale","pred_en_OOB","pred_en_OOB_lwr","pred_en_OOB_upr","pred_en_OOB_rcl","pred_en_OOB_upr_rcl","pred_en_OOB_lwr_rcl"
75,0.27685613410002,0.198881639047575,0.989436883478134,-0.591673605382984,0.269044558812691,0.383249189339733,0.188871827103983,0.278599159,"damage","log10",-0.995402100952546,-1.776651374962,-0.214152826943089,0.1576507726751,0.223637367485734,0.111134227720874
76,-0.250942859097097,-0.41059400099081,0.380741939171706,-1.20192994115333,0.204815534580984,0.291858042739281,0.143732215881294,0.21998529,"damage","log10",-0.478159907461825,-1.24404223583251,0.28772242090886,0.198714876364169,0.279957326440397,0.141048646915243
77,-0.487505919037333,-0.374169891233361,0.421425229436271,-1.16976501190299,0.208181675982158,0.297220740996291,0.145816237687399,0.197885437,"damage","log10",0.00578424790549082,-0.756366992944189,0.767935488755171,0.246770165756635,0.347079459875513,0.175451220102159
78,-0.44664365616168,-0.268190453385688,0.522838526482704,-1.05921943325408,0.21829374724818,0.311021495838998,0.153211789941103,0.201537593,"damage","log10",-0.33000306675676,-1.07513426015469,0.415128126641172,0.212337660429365,0.296384283318684,0.152124402588976
79,-0.336449939317362,-0.438936044518046,0.35304789796868,-1.23091998700477,0.202233996683186,0.288262989768223,0.141879432553375,0.211725894,"damage","log10",0.704551806875172,-0.0818875075886882,1.49099112133903,0.337372191738766,0.479696243472027,0.237275145068456
80,0.558914828622278,0.581690115425647,1.37239272481118,-0.209012493959884,0.319322228534815,0.454898836367952,0.224152443322505,0.316083926,"damage","log10",-0.249997533219735,-0.999606784383648,0.499611717944178,0.220078379985884,0.307805166188212,0.157354387312639
81,-0.568386863346052,-0.590392694005409,0.200800269819698,-1.38158565783052,0.188980131642812,0.269275679060427,0.132627982892285,0.190850513,"damage","log10",-0.202096280446406,-1.00176414334777,0.597571582454961,0.224847339759239,0.321599946751365,0.157202532859537
82,-0.304578536776163,0.188218887269243,0.979060820490884,-0.602623045952399,0.267763722621692,0.38147360313702,0.187948551518711,0.214767564,"damage","log10",0.761357528832822,-0.000381251967777607,1.52309630963342,0.346059185613689,0.486638509574771,0.24609018314694
83,-0.0946769637416757,0.130744301828353,0.921689036529336,-0.660200432872631,0.260964020156724,0.371803410657045,0.183167281053205,0.235920898,"damage","log10",-0.239039786511853,-1.00900556925077,0.530925996227065,0.221160311780136,0.312149277894331,0.156693886452765
84,0.148524290369113,0.0625310354603872,0.85294921651811,-0.727887145597335,0.253117572533551,0.360539363777886,0.177701832204785,0.263048881,"damage","log10",0.698398883705687,-0.0486227350516191,1.44542050246299,0.336444446239091,0.470011993608269,0.240833993482028
